Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,215.6484,NA,4.13080000000000,4.19050000000000,0.00000000000000,0.18780000000000,3.5103,211.5176,4.1308,4.1308,0.0000,0.1825,4.1361,0.3525,3.7836,-0.0889,211.5176,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,219.8720,NA,4.22360000000000,4.15660000000000,0.00000000000000,0.19100000000000,3.4433,215.6484,4.2236,4.2236,0.0000,0.1878,4.2268,0.3849,3.8419,-0.0258,215.6484,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,224.2313,NA,4.35930000000000,4.14980000000000,0.00000000000000,0.17040000000000,3.2338,219.8720,4.3593,4.3593,0.0000,0.1910,4.3387,0.3379,4.0008,0.0738,219.8720,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,227.8348,NA,3.60350000000000,4.18270000000000,0.00000000000000,0.15620000000000,3.8130,224.2313,3.6035,3.6035,0.0000,0.1704,3.5893,0.3167,3.2726,0.1766,224.2313,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,236.5730,NA,8.73820000000000,8.34170000000000,0.00000000000000,0.09360000000000,3.4165,227.8348,8.7382,8.7382,0.0000,0.1562,8.6756,0.3359,8.3397,-4.7382,227.8348,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,297.7788,NA,61.20580000000000,58.32470000000000,0.00000000000000,0.01870000000000,0.5354,236.5730,61.2058,61.2058,0.0000,0.0936,61.1309,0.2491,60.8818,-49.5865,236.5730,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,332.2340,NA,34.45520000000000,37.50430000000000,0.00000000000000,0.01320000000000,3.5845,297.7788,34.4552,34.4552,0.0000,0.0187,34.4497,0.1778,34.2719,23.7015,297.7788,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,344.6615,NA,12.42750000000000,12.49570000000000,0.00000000000000,0.03340000000000,3.6527,332.2340,12.4275,12.4275,0.0000,0.0132,12.4477,0.1894,12.2583,21.9595,332.2340,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,422.3947,NA,77.73320000000000,75.00210000000000,0.00000000000000,0.01760000000000,0.9216,344.6615,77.7332,77.7332,0.0000,0.0334,77.7174,0.2832,77.4342,-62.5746,344.6615,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,440.8910,NA,18.49630000000000,20.83480000000000,0.00000000000000,0.01800000000000,3.2601,422.3947,18.4963,18.4963,0.0000,0.0176,18.4967,0.2094,18.2873,56.8984,422.3947,NA,NA,NA
